GEO.id,GEO.id2,GEO.display-label,GCT_STUB.target-geo-id,GCT_STUB.target-geo-id2,GCT_STUB.display-label,GCT_STUB.display-label,HC01,HC02,HC04,HC05,HC06,HC08,HC09
Id,Id2,Geography,Target Geo Id,Target Geo Id2,Geographic area,County,Population,Housing  units,Area in square miles - Total area,Area in square miles - Water area,Area in square miles - Land area,Density per square mile of land area - Population,Density per square mile of land area - Housing  units
0400000US06,6,California,0400000US06,6,California,California,29760021,12214549,163695.57,7736.23,155959.34,217.2,78.3
0400000US06,6,California,0500000US06001,6001,California - Alameda County,Alameda County,1105379,540183,821.15,83.57,737.57,1957.4,732.4
0400000US06,6,California,0500000US06003,6003,California - Alpine County,Alpine County,1097,1514,743.19,4.57,738.62,1.6,2
0400000US06,6,California,0500000US06005,6005,California - Amador County,Amador County,19314,15035,604.69,11.73,592.97,59.2,25.4
0400000US06,6,California,0500000US06007,6007,California - Butte County,Butte County,143851,85523,1677.11,37.62,1639.49,123.9,52.2
0400000US06,6,California,0500000US06009,6009,California - Calaveras County,Calaveras County,20710,22946,1036.84,16.81,1020.04,39.8,22.5
0400000US06,6,California,0500000US06011,6011,California - Colusa County,Colusa County,12791,6774,1156.22,5.54,1150.68,16.3,5.9
0400000US06,6,California,0500000US06013,6013,California - Contra Costa County,Contra Costa County,656380,354577,802.15,82.2,719.95,1317.9,492.5
0400000US06,6,California,0500000US06015,6015,California - Del Norte County,Del Norte County,18217,10434,1229.75,221.94,1007.81,27.3,10.4
0400000US06,6,California,0500000US06017,6017,California - El Dorado County,El Dorado County,85812,71278,1788.1,77.25,1710.85,91.4,41.7
0400000US06,6,California,0500000US06019,6019,California - Fresno County,Fresno County,514621,270767,6017.42,54.7,5962.73,134.1,45.4
0400000US06,6,California,0500000US06021,6021,California - Glenn County,Glenn County,21350,9982,1327.16,12.36,1314.79,20.1,7.6
0400000US06,6,California,0500000US06023,6023,California - Humboldt County,Humboldt County,108514,55912,4052.22,479.74,3572.49,35.4,15.7
0400000US06,6,California,0500000US06025,6025,California - Imperial County,Imperial County,92110,43891,4481.73,307,4174.73,34.1,10.5
0400000US06,6,California,0500000US06027,6027,California - Inyo County,Inyo County,17895,9042,10226.98,23.88,10203.1,1.8,0.9
0400000US06,6,California,0500000US06029,6029,California - Kern County,Kern County,403089,231564,8161.42,20.46,8140.96,81.3,28.4
0400000US06,6,California,0500000US06031,6031,California - Kings County,Kings County,73738,36563,1391.49,0.5,1390.99,93.1,26.3
0400000US06,6,California,0500000US06033,6033,California - Lake County,Lake County,36366,32528,1329.48,71.52,1257.96,46.4,25.9
0400000US06,6,California,0500000US06035,6035,California - Lassen County,Lassen County,21661,12000,4720.37,163.1,4557.27,7.4,2.6
0400000US06,6,California,0500000US06037,6037,California - Los Angeles County,Los Angeles County,7477503,3270909,4752.32,691.45,4060.87,2344.2,805.5
0400000US06,6,California,0500000US06039,6039,California - Madera County,Madera County,63116,40387,2153.32,17.46,2135.86,57.6,18.9
0400000US06,6,California,0500000US06041,6041,California - Marin County,Marin County,222568,104990,828.2,308.39,519.8,475.7,202
0400000US06,6,California,0500000US06043,6043,California - Mariposa County,Mariposa County,11108,8826,1462.79,11.67,1451.12,11.8,6.1
0400000US06,6,California,0500000US06045,6045,California - Mendocino County,Mendocino County,66738,36937,3878.14,369.17,3508.97,24.6,10.5
